Material;Descripción;Centro;Subcategoría;ABC;Logística;CATMAN;Importe Vendido;Importe Año Anterior;Volumen Vendido;Volumen Año Anterior;Stock
FRVE0078;SANDIA KG;S005;Frutas;B;CEDIS;Sebastián; $13.188,27 ; $15.358,64 ;945;864;146,31
FRVE0068;PEPINO KG;S005;Frutas;A;CEDIS;Sebastián; $20.799,30 ; $32.196,55 ;925;846;96,83
FRVE0073;PIÑA KG;S005;Frutas;A;CEDIS;Sebastián; $20.916,72 ; $17.782,94 ;918;871;128,68
HUEV0025;HUEVO SAN JUAN  30B CJ10;S005;Huevo pre Empacado;A;PdC;Alma; $77.910,84 ; $58.895,00 ;906;740;156
LEFR0028;LECHE AMANECER BOLSA 3PZ DE 900ML;S005;Blanca pasteurizada;A;PdC;Santiago; $20.826,96 ; $23.440,00 ;900;1.758;7
FRVE0067;PAPAYA KG;S005;Frutas;A;CEDIS;Sebastián; $24.235,60 ; $19.891,72 ;872;696;90,36
FRVE0001;AGUACATE KG;S005;Verduras;A;CEDIS;Sebastián; $79.487,83 ; $43.107,52 ;867;707;68,765
ALEN0149;ATÚN DOLORES AGUA 36/133G;S005;Pesca y Marisc Env.;B;CEDIS;Sandra; $17.936,93 ; $14.250,50 ;847;693;189
FRVE0121;CILANTRO MANOJO KG;S005;Verduras;B;CEDIS;Sebastián; $2.997,28 ; $4.843,50 ;833;1.091;57
LEFR0039;LECHE SELLO ROJO 3% GRASA 1.8LT;S005;Blanca pasteurizada;A;PdC;Santiago; $29.258,84 ; $25.087,50 ;760;669;55
FRVE0062;NARANJA VALENCIA KG;S005;Frutas;A;CEDIS;Sebastián; $23.517,00 ; $20.922,65 ;754;869;144,07
TORT0009;TORTILLA DE MAIZ 1/2KG;S005;Tortillas Maíz;B;PdC;Santiago; $9.133,02 ; $7.623,00 ;733;726;5
ADCO0035;ESPECIE MI VILLA CHICA PZ;S005;Especias;B;PdC;Santiago; $6.191,73 ; $5.085,00 ;688;678;499
LEPC0007;LECHE CARNATION CLAVEL NESTLE 48/360ML;S005;Leche Evaporada;B;CEDIS;Sandra; $12.683,61 ; $8.204,50 ;647;410;98
FRVE0088;ZANAHORIA KG;S005;Verduras;A;CEDIS;Sebastián; $10.478,34 ; $7.163,37 ;637;627;84,5
CARN0367;PIERNA Y MUSLO SABRO POLLO 800G;S005;Carne de Pollo;A;PdC;Alma; $43.138,80 ; $54.639,00 ;635;841;71
PAEM0069;BOLILLO PANOVO HORNEADO PZ;S005;Bollería;B;PdC;Santiago; $2.785,23 ; $2.331,00 ;619;518;214
REFR0044;REFRESCO COCA COLA 8/2.5LT;S005;Refrescos de Cola;A;PdC;Santiago; $20.599,88 ; $21.688,68 ;598;629;34
PANE0013;PAN DULCE MERCADO SAN JUAN PZ;S005;Pan Dulce;B;PdC;Santiago; $4.659,04 ; $3.707,67 ;592;616;189
ALEN0150;ATUN DOLORES ACEITE 36/133G;S005;Pesca y Marisc Env.;B;CEDIS;Sandra; $12.206,00 ; $10.307,00 ;576;502;174
FRVE0079;SANDIA PERSONAL (BALON) KG;S005;Frutas;B;CEDIS;Sebastián; $7.789,10 ; $2.999,04 ;522;147;50,9
FRVE0030;FRESA 485G;S005;Frutas;A;CEDIS;Sebastián; $22.371,50 ; $7.285,00 ;516;165;12
CRSP0064;PASTA LA MODERNA SPAGHETTI 20/200G;S005;Pastas para Sopa;B;CEDIS;Sandra; $5.027,90 ; $4.959,00 ;503;522;195
PAEM0034;PAN BIMBO BLANCO 620G;S005;Pan en Barra;A;PdC;Santiago; $25.342,41 ; $19.572,00 ;497;466;65
FRVE0064;NOPAL PICADO KG;S005;Verduras;A;CEDIS;Sebastián; $13.391,69 ; $9.982,04 ;493;372;9,3
LADE0026;QUESO TIPO AMERICANO AMARILLO 104/17G;S005;Quesos;B;CEDIS;Alma; $708,00 ; $1.939,50 ;472;1.293;511
PAHI0042;PAPEL HIGI REGIO RINDE+ 375HD 10/6PZ;S005;Papel Higiénico $ me;N;CEDIS;Sandra; $12.791,68 ; $22.594,85 ;463;936;209
CARN0345;PIERNA PICADA DE CERDO 300G;S005;Carne de Cerdo;A;CEDIS;Alma; $18.437,60 ; $27.332,50 ;461;841;69
HUEV0010;HUEVO SAN JUAN 18B CJ 20;S005;Huevo pre Empacado;A;PdC;Alma; $24.803,35 ; $17.869,00 ;451;361;115
FRVE0047;MANGO ATAULFO KG;S005;Frutas;D;CEDIS;Sebastián; $21.432,66 ; $13.579,64 ;443;334;38,705
HUEV0009;HUEVO SAN JUAN 12B CJ 30;S005;Huevo pre Empacado;A;PdC;Alma; $16.530,00 ; $18.264,50 ;435;539;88
CARN0388;PIERNA DE CERDO PICADA 2KG;S005;Carne de Cerdo;A;CEDIS;Alma; $76.324,93 ; $31.941,00 ;434;169;61
FRVE0061;LECHUGA MR. LUCKY ROMANA 24/1PZ;S005;Verduras;B;CEDIS;Sebastián; $10.690,56 ; $11.447,00 ;431;537;56
HIEL0004;HIELO SWISS 5KG;S005;Hielo;B;PdC;Santiago; $14.091,00 ; $19.008,00 ;427;792;65
FRVE0050;MANZANA NACIONAL AMARILLA KG;S005;Frutas;A;CEDIS;Sebastián; $13.660,62 ; $11.039,31 ;424;286;53,73
REFR0048;REFRESCO COCA COLA 24/500ML;S005;Refrescos de Cola;A;PdC;Santiago; $6.895,56 ; $7.207,20 ;421;440;55
FASE0152;MAQUINA DE PELUCHE;S005;Renta de espacios;C;NoClas;TELEFONIA; $1.754,39 ; $-   ;407;0;0
FRVE0102;LECHUGA MR. LUCKY ITALIANA 24/1PZ;S005;Verduras;D;CEDIS;Sebastián; $6.978,50 ; $240,00 ;407;15;67
FRVE0077;COL BLANCA KG;S005;Verduras;B;CEDIS;Sebastián; $3.170,74 ; $3.229,63 ;400;354;76,51
FRVE0036;JICAMA KG;S005;Frutas;B;CEDIS;Sebastián; $7.845,09 ; $9.232,33 ;398;456;59,445
TORT0014;TORTILLA HARINA TRIGALIA 550G;S005;Tortillas Harina;B;PdC;Santiago; $9.623,50 ; $5.612,00 ;385;244;7
PAEM0128;VUALA PANOVO MINI CUERNI CHOCO 60/60G;S005;Pan Seco;B;CEDIS;Sandra; $5.683,52 ; $1.881,22 ;384;127;120
PAEM0027;PAN HOT DOG BIMBO MEDIAS NOCHE 8PZ 340G;S005;Pan en Barra;A;PdC;Santiago; $18.307,59 ; $14.028,00 ;379;334;90
LEPC0033;LECHE COND. NESTLE LA LECHERA 48/375G;S005;Leche Condensada;B;CEDIS;Sandra; $9.683,50 ; $6.254,50 ;377;245;144
CAFR0166;SALCHICHA SAN MILLAN KG;S005;Salchicha;A;PdC;Alma; $17.261,96 ; $17.635,84 ;375;430;82,65
LEFR0021;LECHE 19 HERMANOS BOLSA 3/1LT;S005;Blanca pasteurizada;B;PdC;Santiago; $5.875,00 ; $6.157,00 ;375;393;75
CARN0380;PIERNA PICADA DE CERDO 800G;S005;Carne de Cerdo;A;CEDIS;Alma; $32.480,39 ; $43.430,00 ;374;505;35
GASE0010;CANELA EMPACADA PZ;S005;Chiles Secos;B;CEDIS;Sandra; $1.678,10 ; $1.120,50 ;373;249;157
FRVE0018;CHILE POBLANO ANCHO KG;S005;Verduras;A;CEDIS;Sebastián; $11.487,88 ; $11.972,72 ;366;256;55,425
CARN0326;SABRO POLLO APLANADA 500G;S005;Carne de Pollo;A;PdC;Alma; $49.813,60 ; $76.786,40 ;362;731;59
CAFR0076;SALCHICHA VIVA HOT DOG KG;S005;Salchicha;A;PdC;Alma; $21.661,58 ; $22.260,22 ;349;384;90,355
ALEN0045;ELOTES LA COSTEÑA 24/410G;S005;Vegetales Envasados;B;CEDIS;Sandra; $5.947,40 ; $4.463,10 ;346;255;42
CARN0362;CHAMORRO ROJADA DE CERDO 700G;S005;Carne de Cerdo;A;CEDIS;Alma; $21.096,88 ; $21.216,00 ;346;408;41
CARN0390;MOLIDA 80/20 DE CERDO 800G;S005;Carne de Cerdo;A;CEDIS;Alma; $23.829,65 ; $49.200,00 ;346;656;31
AROM0001;SOPA INSTANT MARUCHAN HABANERO 12/64G;S005;Comida Deshidratada;B;CEDIS;Sandra; $5.488,00 ; $7.230,00 ;343;482;85
PAEM0061;PASTELITO MARINELA PINGUINO 80G;S005;Pan en Barra;C;PdC;Santiago; $5.620,59 ; $555,59 ;343;30;27
CARN0385;RIBLET TROZO DE CERDO 700G;S005;Carne de Cerdo;A;CEDIS;Alma; $19.796,00 ; $21.560,00 ;342;440;32
TORT0005;TORTILLA DE HARINA 1KG;S005;Tortillas Harina;A;PdC;Santiago; $14.441,11 ; $20.560,00 ;340;514;26
PAHI0041;PAPEL HIGI VOGUE GIG MANZ 600 8/6PZ;S005;Papel Higiénico $ me;A;CEDIS;Sandra; $16.729,98 ; $11.188,94 ;329;236;169
ADCO0036;ESPECIE MI VILLA GRANDE PZ;S005;Especias;A;PdC;Santiago; $8.992,50 ; $8.375,00 ;327;335;172
FRVE0101;NOPAL ENTERO KG;S005;Verduras;B;CEDIS;Sebastián; $8.854,25 ; $6.149,10 ;325;246;1,68
CAFR0206;DESHEBRADA MAXIM DE POLLO 300G;S005;Otras Carnes Frías;A;CEDIS;Alma; $19.697,51 ; $24.642,00 ;323;411;126
REFR0167;REFRESCO COCA COLA 8/1.75LT;S005;Refrescos de Cola;B;PdC;Santiago; $8.352,78 ; $6.305,73 ;323;232;28
CODE0050;PAN DULCE BFR BARRITA FRESA 150/75G;S005;Pan Dulce;N;NoClas;Santiago; $2.980,60 ; $-   ;322;0;129
FRVE0005;CALABAZA KG;S005;Verduras;A;CEDIS;Sebastián; $9.074,99 ; $10.042,35 ;312;419;28,415
PAEM0107;SUPERDOÑA CAJA CON 6 DONAS;S005;Pan Dulce;A;PdC;Santiago; $17.757,56 ; $12.191,03 ;303;209;0
REFR0031;REFRESCO COCA COLA 12/1.25LT;S005;Refrescos de Cola;B;PdC;Santiago; $5.976,69 ; $5.348,60 ;295;264;45
FRVE0048;MANGO HEIDI KG;S005;Frutas;D;CEDIS;Sebastián; $14.555,64 ; $10.699,40 ;294;265;73,105
GADU0142;GALLETA MARINELA PRINCIPE CHOCOLATE 378G;S005;Galleta Dulce Caja;A;PdC;Santiago; $10.058,70 ; $35.527,32 ;286;1.476;56
CARN0343;PIERNA ENTERA DE CERDO 800G;S005;Carne de Cerdo;A;CEDIS;Alma; $24.682,00 ; $13.760,00 ;284;160;16
ADCO0086;PURE DE TOMATE DEL FUERTE 24/210G;S005;Puré de Tomate;B;CEDIS;Sandra; $2.247,00 ; $1.568,00 ;283;196;123
CARN0391;HUESO ESPINAZO TROZO DE CERDO 700G;S005;Carne de Cerdo;A;CEDIS;Alma; $7.867,16 ; $10.870,00 ;281;435;0
CODE0053;PAN SALADO CROISSANT 120/75G;S005;Pan Dulce;N;PdC;Santiago; $2.546,47 ; $-   ;275;0;91
PAEM0129;VUALA PANOVO MINI CUERNI VAINILLA 60/60G;S005;Pan Seco;B;CEDIS;Sandra; $3.672,45 ; $2.088,50 ;275;141;102
CARN0272;PULPA PICADA DE RES 300G;S005;Carne de Res;A;CEDIS;Alma; $17.824,02 ; $33.275,00 ;271;605;14
CARN0400;POLLO ROSTIZADO MERCADO SAN JUAN PZ;S005;Procesados Marca Pro;;NoClas;Alma; $36.773,53 ; $-   ;267;0;35
ADCO0043;SAZONADOR KNORR SUIZA 6/50/22G;S005;Consomés y Caldos;C;CEDIS;Sandra; $1.325,00 ; $1.741,50 ;265;387;99
LADE0020;MARGARINA LA VILLITA 24/90G;S005;Mantequillas y marga;B;PdC;Alma; $4.488,00 ; $3.570,00 ;264;238;81
PAEM0006;PAN BIMBO BIMBOLLO 450G;S005;Bollería;A;PdC;Santiago; $14.059,00 ; $11.468,00 ;261;244;12
CARN0260;MOLIDA 80/20 DE RES 300G;S005;Carne de Res;A;CEDIS;Alma; $14.199,00 ; $36.288,00 ;260;756;55
LADE0004;CREMA ALPURA 200ML;S005;Cremas;B;PdC;Santiago; $5.430,74 ; $3.186,00 ;257;177;46
LADE0115;CREMA SANTA FE 500G;S005;Cremas;B;PdC;Santiago; $11.758,56 ; $8.955,00 ;245;199;7
CAFR0028;JAMÓN CHAPARRAL PIERNA KG;S005;Jamón;A;PdC;Alma; $30.793,14 ; $19.796,32 ;244;164;68,7
LADE0059;QUESO ASADERO EL PUEBLITO BOLA 200G;S005;Quesos;B;PdC;Santiago; $7.502,00 ; $6.525,00 ;242;225;24
REFR0056;REFRESCO COCA COLA SIN AZUCAR 24/500ML;S005;Refrescos de Cola;B;PdC;Santiago; $3.914,82 ; $1.949,22 ;239;119;18
LEFR0020;LECHE 19 HERMANOS 1.89LT;S005;Blanca pasteurizada;B;PdC;Santiago; $9.046,34 ; $8.342,50 ;235;235;1
CODE0043;GALLETA BFR CHISPAS DE CHOCOLATE 180/50G;S005;Pan Dulce;N;NoClas;Santiago; $2.166,82 ; $-   ;234;0;137
CONG0030;PAPA PARA FREIR CONGELADOS KG;S005;Papas a la francesa;A;PdC;Alma; $15.577,57 ; $12.438,36 ;229;183;31,501
CAFR0209;CHULETA MAXIM AHUMADA 500G;S005;Otras Carnes Frías;A;CEDIS;Alma; $13.950,00 ; $15.277,20 ;225;249;32
PANE0033;BERLINESA PANOVO RELLENA PZ;S005;Pan Dulce;B;PdC;Santiago; $2.876,87 ; $-   ;222;0;35
ALEN0041;CHILE CHIPOTLE LA COSTEÑA 40/105G;S005;Chiles Envasados;B;CEDIS;Sandra; $3.488,00 ; $3.945,00 ;218;263;80
GASE0020;FRIJOL PERUANO KG;S005;Frijol;A;CEDIS;Sandra; $10.126,61 ; $9.094,95 ;218;216;86,289
ALEN0044;ELOTES LA COSTEÑA 24/220G;S005;Vegetales Envasados;C;CEDIS;Sandra; $2.591,28 ; $396,50 ;216;33;85
LADE0016;CREMA MI VILLA NATURAL POR KG;S005;Cremas;A;PdC;Santiago; $11.938,59 ; $15.894,55 ;213;284;57,8
CERV0042;CERVEZA OSCURA VICTORIA LATA 24/473ML;S005;Cerveza No retornabl;B;PdC;Santiago; $4.384,94 ; $4.752,17 ;211;225;284
FRVE0029;ESPINACA MR. LUCKY POPEYE BOLSA 12/284G;S005;Verduras;B;CEDIS;Sebastián; $10.630,00 ; $8.876,50 ;211;208;18
CARN0281;MOLIDA MIXTA 16/400G;S005;Carne de Res;B;NoClas;Alma; $14.207,92 ; $-   ;209;0;43
CARN0308;PULPA PICADA DE RES 800G;S005;Carne de Res;A;PdC;Alma; $32.190,00 ; $33.888,20 ;203;244;1
CERV0033;CERVEZA SOL CLAMATO LATON 24/473ML;S005;Cerveza No retornabl;B;PdC;Santiago; $4.549,86 ; $5.036,27 ;203;249;0
AROM0002;SOPA INSTANT MARUCHAN CAMARÓN 12/64G;S005;Comida Deshidratada;B;CEDIS;Sandra; $3.229,60 ; $1.830,00 ;202;122;120
CAFR0214;CHICHARRON MAXIM PRENSADO 300G;S005;Otras Carnes Frías;B;PdC;Alma; $9.798,53 ; $8.882,50 ;200;187;80
LADE0111;QUESO SANTA FE ASADERO 500G;S005;Quesos;A;PdC;Santiago; $16.800,00 ; $12.080,00 ;200;151;16
AROM0004;SOPA INSTANT MARUCHAN CAM/LIMÓN 12/64G;S005;Comida Deshidratada;C;CEDIS;Sandra; $3.182,08 ; $705,00 ;199;47;107
CODE0042;GALLETA BFR DOBLE CHOCOLATE 180/50G;S005;Pan Dulce;N;NoClas;Santiago; $1.833,48 ; $-   ;198;0;19
AGPU0073;AGUA MAXIMA 24/500ML;S005;Agua sin Sabor;C;CEDIS;Sandra; $783,88 ; $139,50 ;196;31;107
LADE0112;QUESO SANTA FE ASADERO 250G;S005;Quesos;B;PdC;Santiago; $8.211,71 ; $6.240,00 ;191;156;35
CARN0368;FILETE ENTERO DE CERDO 800G;S005;Carne de Cerdo;A;CEDIS;Alma; $17.429,00 ; $27.075,00 ;190;285;25
JUNE0067;JUGO JUMEX MANZANA TETRA 24/250ML;S005;Jugo y Nec Infantil;B;CEDIS;Sandra; $1.995,00 ; $1.550,00 ;190;155;75
CHIC0002;CHICLE CANELS 300/1PZ;S005;Chicles;D;PdC;Santiago; $162,58 ; $167,11 ;189;194;115
CAFR0066;QUESO DE PUERCO CHAPARRAL KG;S005;Otras Carnes Frías;A;PdC;Alma; $19.222,63 ; $22.267,93 ;188;218;46,97
ADCO0097;SALSA EL PATO 48/225G;S005;Salsa para condiment;B;CEDIS;Sandra; $3.008,00 ; $3.630,00 ;188;242;73
PAEM0036;PAN BIMBO INTEGRAL 675G;S005;Pan en Barra;A;PdC;Santiago; $9.297,00 ; $8.250,00 ;186;165;32
PORE0005;GELATINA DE AGUA DANY SABOR FRESA 125G;S005;Gelatina;C;PdC;Santiago; $1.633,50 ; $1.088,00 ;186;136;28
PAEM0159;CUERNITO VUALA PANOVO MINI CAJETA 60/60G;S005;Pan Seco;C;CEDIS;Sandra; $2.594,60 ; $2.636,55 ;185;178;117
CARN0349;MENUDENCIA SABRO POLLO 800G;S005;Carne de Pollo;B;PdC;Alma; $4.794,39 ; $4.305,00 ;184;173;17
LEFR0040;LECHE SELLO ROJO 1LT;S005;Blanca pasteurizada;B;PdC;Santiago; $4.666,50 ; $2.796,50 ;183;119;16
CODE0001;PAN DULCE CASERO PZ;S005;Pan Dulce;A;PdC;Santiago; $1.769,18 ; $2.663,69 ;182;274;3
JUGU0175;JUGUETE CARRO PZ;S005;Juguetes;N;PdC;Diana; $7.374,35 ; $-   ;182;0;233
FRVE0013;CHAYOTE KG;S005;Verduras;B;CEDIS;Sebastián; $3.902,24 ; $4.475,42 ;179;176;13,3
CODE0049;PAN DULCE BFR BARRITA PINA 150/75G;S005;Pan Dulce;N;NoClas;Santiago; $1.656,70 ; $-   ;179;0;247
FRVE0099;LECHUGA ROMANA MI VILLITA PZ;S005;Verduras;B;CEDIS;Sebastián; $3.559,00 ; $3.307,00 ;179;135;16
REFR0145;REFRESCO SQUIRT TORONJA 2LT;S005;Refrescos de Sabores;B;PdC;Santiago; $4.832,66 ; $4.861,35 ;178;179;43
FRVE0004;BROCOLI KG;S005;Verduras;B;CEDIS;Sebastián; $3.698,17 ; $4.124,11 ;177;193;18,755
FRIT0075;BOTANAS SABRITAS DORITOS NACHO 62G;S005;Maíz Frito;B;PdC;Santiago; $3.014,88 ; $4.250,47 ;176;255;43
FRVE0008;CEBOLLA MORADA KG;S005;Verduras;B;CEDIS;Sebastián; $4.028,72 ; $7.462,47 ;174;161;22,465
ADCO0072;MAYONESA MCCORMICK 24/190G;S005;Mayonesas;B;CEDIS;Sandra; $5.014,39 ; $3.920,00 ;173;140;45
LADE0023;QUESO CREMA PHILADELPHIA ORIGINAL 180G;S005;Quesos;B;PdC;Alma; $8.909,50 ; $5.580,00 ;173;124;73
ACCO0026;ACEITE VEGETAL CRISTAL 12/1LT;S005;Aceite Liq. Comestib;B;CEDIS;Sandra; $6.793,18 ; $5.376,00 ;172;112;121
ADCO0019;CONSOMATE MAGGI 2 CUBOS 12/27/22G;S005;Consomés y Caldos;C;CEDIS;Sandra; $769,50 ; $780,00 ;171;195;92
PORE0008;GELATINA DE AGUA DANY SABOR UVA 125G;S005;Gelatina;C;PdC;Santiago; $1.500,00 ; $992,00 ;171;124;12
FRVE0118;CORAZON DE APIO MR. LUCKY 24/1PZ;S005;Verduras;B;CEDIS;Sebastián; $5.410,00 ; $4.522,50 ;170;201;36
LADE0117;CREMA SANTA FE 250G;S005;Cremas;B;PdC;Santiago; $4.420,00 ; $3.648,00 ;170;152;10
YOBE0029;PRODUCTO FERMENTADO YAKULT 3PZ DE 80ML;S005;Yog Bebible Infantil;B;PdC;Alma; $3.024,00 ; $4.896,00 ;170;612;30
FRVE0019;CHILE SERRANO KG;S005;Verduras;B;CEDIS;Sebastián; $4.945,51 ; $5.077,57 ;169;147;23,025
CERV0027;CERVEZA CLARA MODELO LATA 24/355ML;S005;Cerveza No retornabl;B;PdC;Santiago; $2.860,90 ; $1.890,66 ;168;102;34
GASE0008;ARROZ VERDE VALLE SUPER EXTRA 10/1KG;S005;Arroz;A;CEDIS;Sandra; $5.727,84 ; $4.928,00 ;168;112;62
FRIT0124;PALOMITAS ACTII MATEQUILLA EXT 6/14/80G;S005;Palomitas microondas;C;CEDIS;Sandra; $2.164,01 ; $1.637,50 ;167;131;68
ADCO0044;SAZONADOR KNORR SUIZA 8 CUBOS 105/88G;S005;Consomés y Caldos;B;CEDIS;Sandra; $3.300,00 ; $4.446,00 ;165;234;83
DESE0034;VASO REYMA N.16 40/25PZ;S005;Vasos;B;CEDIS;Sandra; $4.125,00 ; $3.840,96 ;165;165;14
TOST0007;TOSTADA EL CHARRO 40PZ;S005;Tostada;B;PdC;Santiago; $6.513,94 ; $4.522,00 ;165;119;46
ADCO0069;MAYONESA MCCORMICK 12/390G;S005;Mayonesas;B;CEDIS;Sandra; $7.898,00 ; $6.364,00 ;164;148;10
FFAL0133;ROLL POLLO PZ;S005;Procesados Marca Pro;B;PdC;Santiago; $9.163,49 ; $1.620,74 ;164;40;87
FFAL0181;ROLL PEPPERONI 50/1PZ;S005;Procesados Marca Pro;D;PdC;Santiago; $9.077,29 ; $2.025,95 ;162;50;41
GASE0021;FRIJOL PINTO DE SALTILLO KG;S005;Frijol;A;CEDIS;Sandra; $5.420,65 ; $7.210,00 ;162;194;58,87
CERV0028;CERVEZA CLARA MODELO LATON 24/473ML;S005;Cerveza No retornabl;B;PdC;Santiago; $3.451,85 ; $1.767,20 ;161;82;41
CARN0271;PULPA BISTEC DE RES 300G;S005;Carne de Res;A;PdC;Alma; $10.411,60 ; $13.750,00 ;160;250;16
CARN0356;PECHUGA EN TROZO SABRO POLLO 750G;S005;Carne de Pollo;A;PdC;Alma; $21.887,88 ; $13.748,40 ;160;109;22
CARN0379;PIERNA BISTEC DE CERDO 800G;S005;Carne de Cerdo;A;CEDIS;Alma; $12.553,00 ; $25.112,00 ;160;292;13
GASA0011;GALLETA GAMESA SALADITAS 20/140G;S005;Galleta Salada;B;PdC;Santiago; $3.438,72 ; $1.188,00 ;160;66;61
JUTA0009;JUGO 19 HERMANOS NARANAJA 3.78LT;S005;B. Refrig. Naranjada;B;PdC;Santiago; $3.997,75 ; $4.350,00 ;160;174;12
LADE0027;QUESO TIPO AMERICANO VILLITA 175G;S005;Quesos;B;PdC;Alma; $5.565,00 ; $3.683,00 ;159;127;73
CERV0019;CERVEZA CLARA CORONA LIGHT 24/355ML;S005;Cerveza No retornabl;B;PdC;Santiago; $2.570,84 ; $2.509,38 ;158;142;41
FFAL0180;ROLL HAWAIANO 50/1PZ;S005;Procesados Marca Pro;D;PdC;Santiago; $8.851,60 ; $486,22 ;158;12;72
OTBO0023;SALSA VALENTINA 24/370ML;S005;Salsas Botaneras;B;CEDIS;Sandra; $2.685,49 ; $2.576,00 ;158;161;54
CHGO0005;CHOCOLATE KINDER CON LECHE 24/12.5G;S005;Chocolate Golosina;C;PdC;Santiago; $926,62 ; $700,22 ;154;126;56
GASE0018;FRIJOL FLOR DE JUNIO KG;S005;Frijol;A;CEDIS;Sandra; $5.152,01 ; $7.002,57 ;154;144;55,832
DESE0003;CHAROLA TERMICA MARIEL #066 10/50PZ;S005;Charola desechable;B;CEDIS;Sandra; $2.637,21 ; $1.724,00 ;153;100;51
FRVE0028;ELOTE PZ;S005;Verduras;B;CEDIS;Sebastián; $1.511,50 ; $634,00 ;151;68;14
FRVE0060;CORAZONES DE LECHUGA MR. LUCKY 12/3PZ;S005;Verduras;B;CEDIS;Sebastián; $5.632,96 ; $5.594,50 ;150;167;19
GADU0310;GALLETA MARINELA SPONCH TIRA 7/45G;S005;Galleta Dulce Caja;N;NoClas;Santiago; $1.387,32 ; $-   ;150;0;5
PAEM0031;PAN DULCE BIMBO NITO 62G;S005;Pan en Barra;B;PdC;Santiago; $2.021,36 ; $2.541,84 ;149;183;99
CAFR0080;SALCHICHA SAN ANTONIO PAVO KG;S005;Salchicha;B;PdC;Alma; $9.780,37 ; $9.774,99 ;149;148;59,28
GADU0009;GALLETA CUETARA HOJALD CAJ/CHOC 12/7/40G;S005;Galleta Dulce Caja;D;CEDIS;Sandra; $816,76 ; $-   ;147;0;33
CUBE0046;TOALLITAS HUMEDAS BABY SKY 12/80PZ;S005;Toallas húmedas bebe;B;CEDIS;Sandra; $3.905,38 ; $4.475,00 ;146;179;69
LADE0021;MARGARINA PRIMAVERA 4/90G;S005;Mantequillas y marga;B;PdC;Alma; $3.285,00 ; $2.749,50 ;146;141;8
GADU0211;GALLETA NABISCO OREO 12/273.6G;S005;Galleta Dulce Caja;B;CEDIS;Sandra; $4.631,45 ; $2.994,75 ;145;98;16
FRVE0065;PAPA CAMBRAY KG;S005;Verduras;B;CEDIS;Sebastián; $2.412,01 ; $2.237,03 ;144;97;9,29
CARN0381;PIERNA TROZO DE CERDO 800G;S005;Carne de Cerdo;A;CEDIS;Alma; $12.433,00 ; $15.050,00 ;143;175;14
ACCO0036;ACEITE DE SOYA NUTRIOLI 12/850ML;S005;Aceite Liq. Comestib;B;CEDIS;Sandra; $6.372,59 ; $6.345,00 ;142;141;198
LADE0065;QUESO ASADERO EL PUEBLITO RALLADO 200G;S005;Quesos;B;PdC;Santiago; $4.544,00 ; $8.340,00 ;142;278;5
DESE0004;CHAROLA TERMICA MARIEL #855 10/50UN;S005;Charola desechable;B;CEDIS;Sandra; $3.403,72 ; $2.269,16 ;141;94;48
PAEM0057;PASTELITO MARINELA GANSITO 50G;S005;Pan Dulce;B;PdC;Santiago; $2.132,32 ; $533,21 ;140;36;106
